               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  70,            0.039198,            0.025592,            0.014219,             0.84183,             0.56539,             0.64287,             0.41173,            0.040077,            0.012197,            0.013924,            0.003169,            0.003169,            0.003169
                  71,            0.039273,            0.025756,            0.014336,             0.84488,             0.57256,             0.64173,             0.40853,            0.040412,            0.012176,            0.014699,             0.00307,             0.00307,             0.00307
                  72,             0.03896,            0.025857,            0.013773,             0.84624,             0.56745,              0.6398,             0.40741,            0.040283,            0.012097,            0.014162,            0.002971,            0.002971,            0.002971
                  73,            0.038751,            0.025527,            0.013772,             0.88361,             0.55717,             0.64775,              0.4104,             0.03989,            0.011964,            0.013929,            0.002872,            0.002872,            0.002872
                  74,            0.038501,            0.025452,            0.013716,             0.84793,             0.57728,             0.64733,             0.41316,            0.039927,            0.011972,             0.01412,            0.002773,            0.002773,            0.002773
                  75,             0.03836,            0.025018,            0.013736,             0.86924,             0.56592,              0.6491,             0.41709,            0.040131,            0.012055,            0.014143,            0.002674,            0.002674,            0.002674
                  76,             0.03819,            0.025634,            0.013775,              0.8645,              0.5768,             0.65523,             0.42072,              0.0396,            0.011878,            0.013445,            0.002575,            0.002575,            0.002575
                  77,            0.037944,            0.024973,             0.01345,             0.85395,              0.5759,             0.65218,             0.41931,            0.039628,            0.011934,            0.013478,            0.002476,            0.002476,            0.002476
                  78,            0.038069,            0.025257,            0.013055,              0.8556,             0.58576,             0.65639,             0.41977,            0.039722,            0.011861,            0.013259,            0.002377,            0.002377,            0.002377
                  79,            0.037977,            0.024928,             0.01291,             0.86152,             0.57494,             0.65172,             0.42277,            0.039501,            0.011841,            0.013212,            0.002278,            0.002278,            0.002278
                  80,            0.037598,            0.025024,            0.012787,             0.87511,             0.58162,             0.66816,             0.42626,             0.03946,            0.011869,            0.012977,            0.002179,            0.002179,            0.002179
                  81,            0.037619,            0.025069,             0.01301,             0.86069,             0.57852,             0.65614,             0.42238,            0.039486,            0.011918,            0.013204,             0.00208,             0.00208,             0.00208
                  82,            0.037508,            0.024719,            0.012952,             0.86876,             0.58306,             0.66358,             0.42679,            0.039789,            0.011729,            0.013043,            0.001981,            0.001981,            0.001981
                  83,            0.037196,            0.024466,             0.01249,             0.84444,             0.60195,             0.66887,             0.42999,            0.039644,            0.011736,            0.013211,            0.001882,            0.001882,            0.001882
                  84,            0.037013,            0.024693,            0.012255,             0.89089,             0.56799,             0.66127,             0.42823,            0.039296,            0.011811,            0.012318,            0.001783,            0.001783,            0.001783
                  85,            0.036989,            0.024418,            0.012158,             0.88118,             0.57766,             0.66109,             0.42778,            0.039402,            0.011812,             0.01393,            0.001684,            0.001684,            0.001684
                  86,            0.036895,            0.024704,            0.012292,             0.86194,             0.58985,             0.66303,             0.42954,            0.039033,            0.011693,            0.012638,            0.001585,            0.001585,            0.001585
                  87,            0.036629,            0.024585,            0.012424,              0.8885,             0.58709,             0.66653,             0.43362,            0.039137,            0.011664,             0.01202,            0.001486,            0.001486,            0.001486
                  88,            0.036343,            0.024346,            0.011742,             0.86399,             0.60085,             0.66687,             0.43072,            0.039148,            0.011705,            0.012522,            0.001387,            0.001387,            0.001387
                  89,            0.036483,            0.023866,            0.011371,             0.85626,             0.59831,             0.66638,             0.43367,            0.038916,            0.011707,            0.012756,            0.001288,            0.001288,            0.001288
                  90,            0.036061,            0.023788,            0.011456,             0.87096,             0.59851,             0.66914,             0.43405,            0.039131,            0.011726,            0.012564,            0.001189,            0.001189,            0.001189
                  91,            0.036036,            0.024319,            0.011145,             0.85394,             0.59671,             0.66593,             0.43512,            0.039149,            0.011759,            0.012336,             0.00109,             0.00109,             0.00109
                  92,            0.036045,            0.024267,            0.011211,              0.8667,             0.59311,             0.66765,             0.43638,            0.039065,            0.011632,            0.012269,            0.000991,            0.000991,            0.000991
                  93,            0.035785,            0.023802,            0.010884,             0.88119,             0.59034,             0.67116,             0.43926,            0.038988,            0.011614,            0.012354,            0.000892,            0.000892,            0.000892
                  94,            0.035762,            0.024154,            0.010949,             0.88318,             0.58165,             0.66842,             0.44052,            0.038949,            0.011614,            0.012633,            0.000793,            0.000793,            0.000793
                  95,            0.035559,            0.023782,            0.010698,             0.85105,             0.60561,             0.67293,             0.44132,            0.038836,            0.011591,            0.012703,            0.000694,            0.000694,            0.000694
                  96,            0.035866,            0.023891,            0.010533,             0.88627,             0.58648,             0.67348,             0.44413,            0.038706,            0.011584,            0.012572,            0.000595,            0.000595,            0.000595
                  97,            0.035764,            0.023969,            0.010248,             0.85413,             0.60333,             0.67164,             0.44183,             0.03859,             0.01154,            0.012757,            0.000496,            0.000496,            0.000496
                  98,            0.034944,             0.02349,            0.010581,             0.86319,             0.60842,             0.67043,             0.44216,            0.038538,            0.011604,            0.012352,            0.000397,            0.000397,            0.000397
                  99,            0.035508,            0.023694,            0.010135,             0.87645,               0.603,             0.67302,             0.44329,            0.038568,            0.011599,            0.012774,            0.000298,            0.000298,            0.000298
